City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,ciudad lazaro cardenas,17.9583,-102.2,25.03,70,0,3.1,MX,1738371950
341,petawawa,45.9001,-77.3328,-10.12,74,100,0.89,CA,1738371951
342,zhosaly,45.4878,64.0781,-3.11,89,98,2.02,KZ,1738371952
343,nguigmi,14.2495,13.1092,17.69,23,0,5.93,NE,1738371954
344,codrington,-38.2667,141.9667,25.59,37,0,4.61,AU,1738371955
345,kourou,5.1552,-52.6478,24.47,85,8,3.95,GF,1738371956
346,new norfolk,-42.7826,147.0587,21.62,47,23,1.89,AU,1738371957
347,fort bragg,35.139,-79.006,20.91,71,75,4.63,US,1738371958
348,san julian,21.0167,-102.1667,18.07,25,5,3.42,MX,1738371959
349,myeik,12.4333,98.6,22.65,88,99,1.84,MM,1738371960
350,nishinoomote,30.7333,131.0,15.31,72,75,6.17,JP,1738371961
351,bridlington,54.0831,-0.1919,5.57,59,100,0.45,GB,1738371844
352,ghormach,35.7306,63.7826,-0.29,80,6,2.73,AF,1738371963
353,dwarka,22.2394,68.9678,20.05,57,37,5.82,IN,1738371735
354,bahraigh,27.5833,81.6,11.8,54,0,1.11,IN,1738371966
355,bunyan,38.8463,35.8603,0.86,49,1,1.02,TR,1738371967
356,auki,-8.7676,160.7034,27.68,88,99,5.14,SB,1738371968
357,neiafu,-18.65,-173.9833,27.38,89,75,4.63,TO,1738371969
358,karatuzskoye,53.6072,92.8667,-10.26,96,100,0.5,RU,1738371970
359,ormara,25.2088,64.6357,16.51,37,0,9.14,PK,1738371972
360,zlotow,53.3635,17.0408,2.66,78,100,4.33,PL,1738371973
361,mora,11.0461,14.1401,18.7,30,16,2.11,CM,1738371975
362,lodwar,3.1191,35.5973,28.88,42,79,2.83,KE,1738371976
